Postal Code,Date,Sentiment,Year
80014,28/12/2024,Neutral,2024
80219,28/12/2024,Neutral,2024
80002,28/12/2024,Neutral,2024
80238,28/12/2024,Negative,2024
80211,28/12/2024,Negative,2024
80204,27/12/2024,Positive,2024
80016,27/12/2024,Neutral,2024
80016,27/12/2024,Positive,2024
80221,27/12/2024,Neutral,2024
80219,27/12/2024,Positive,2024
80014,27/12/2024,Positive,2024
80120,27/12/2024,Negative,2024
80120,27/12/2024,Positive,2024
80238,27/12/2024,Negative,2024
80120,27/12/2024,Positive,2024
80238,27/12/2024,Neutral,2024
80234,27/12/2024,Neutral,2024
80016,27/12/2024,Neutral,2024
80211,27/12/2024,Negative,2024
80234,27/12/2024,Positive,2024
80002,27/12/2024,Positive,2024
80234,27/12/2024,Positive,2024
80014,27/12/2024,Negative,2024
80014,27/12/2024,Neutral,2024
80219,27/12/2024,Positive,2024
80002,27/12/2024,Positive,2024
80002,27/12/2024,Positive,2024
80234,27/12/2024,Positive,2024
80014,27/12/2024,Positive,2024
80211,27/12/2024,Negative,2024
80204,27/12/2024,Neutral,2024
80221,27/12/2024,Positive,2024
80014,27/12/2024,Positive,2024
80221,26/12/2024,Positive,2024
80002,26/12/2024,Positive,2024
80211,26/12/2024,Positive,2024
80014,26/12/2024,Positive,2024
80002,26/12/2024,Negative,2024
80219,26/12/2024,Negative,2024
80219,26/12/2024,Positive,2024
80238,26/12/2024,Positive,2024
80219,26/12/2024,Negative,2024
80016,26/12/2024,Positive,2024
80120,26/12/2024,Positive,2024
80120,26/12/2024,Positive,2024
80234,26/12/2024,Neutral,2024
80204,26/12/2024,Positive,2024
80219,26/12/2024,Positive,2024
80014,26/12/2024,Positive,2024
80014,26/12/2024,Positive,2024
80221,26/12/2024,Neutral,2024
80221,26/12/2024,Positive,2024
80234,26/12/2024,Negative,2024
80120,26/12/2024,Positive,2024
80238,26/12/2024,Positive,2024
80221,26/12/2024,Negative,2024
80204,25/12/2024,Negative,2024
80016,25/12/2024,Positive,2024
80211,25/12/2024,Positive,2024
80016,25/12/2024,Positive,2024
80234,25/12/2024,Positive,2024
80204,25/12/2024,Neutral,2024
80014,25/12/2024,Positive,2024
80204,25/12/2024,Positive,2024
80204,25/12/2024,Positive,2024
80120,25/12/2024,Neutral,2024
80120,25/12/2024,Neutral,2024
80221,25/12/2024,Neutral,2024
80219,25/12/2024,Neutral,2024
80002,25/12/2024,Positive,2024
80221,25/12/2024,Positive,2024
80211,24/12/2024,Negative,2024
80219,24/12/2024,Positive,2024
80016,24/12/2024,Neutral,2024
80238,24/12/2024,Neutral,2024
80002,24/12/2024,Positive,2024
80211,24/12/2024,Negative,2024
80120,24/12/2024,Positive,2024
80238,24/12/2024,Positive,2024
80014,24/12/2024,Positive,2024
80014,24/12/2024,Positive,2024
80016,24/12/2024,Neutral,2024
80204,24/12/2024,Neutral,2024
80120,24/12/2024,Positive,2024
80234,24/12/2024,Positive,2024
80238,23/12/2024,Neutral,2024
80204,23/12/2024,Positive,2024
80014,23/12/2024,Positive,2024
80014,23/12/2024,Positive,2024
80221,23/12/2024,Positive,2024
80211,23/12/2024,Positive,2024
80014,23/12/2024,Positive,2024
80221,23/12/2024,Positive,2024
80204,23/12/2024,Neutral,2024
80221,23/12/2024,Positive,2024
80016,23/12/2024,Neutral,2024
80234,23/12/2024,Negative,2024
80219,23/12/2024,Positive,2024
80014,23/12/2024,Positive,2024
80238,23/12/2024,Negative,2024
80238,23/12/2024,Positive,2024
80234,23/12/2024,Positive,2024
80238,23/12/2024,Positive,2024
80234,23/12/2024,Neutral,2024
80211,23/12/2024,Positive,2024
80221,22/12/2024,Positive,2024
80234,22/12/2024,Negative,2024
80002,22/12/2024,Positive,2024
80014,22/12/2024,Negative,2024
80234,22/12/2024,Negative,2024
80219,22/12/2024,Positive,2024
80016,22/12/2024,Positive,2024
80016,22/12/2024,Negative,2024
80234,22/12/2024,Positive,2024
80016,22/12/2024,Neutral,2024
80120,22/12/2024,Positive,2024
80016,22/12/2024,Positive,2024
80016,22/12/2024,Positive,2024
80016,21/12/2024,Negative,2024
80219,21/12/2024,Neutral,2024
80234,21/12/2024,Positive,2024
80221,21/12/2024,Positive,2024
80238,21/12/2024,Positive,2024
80219,21/12/2024,Neutral,2024
80120,21/12/2024,Positive,2024
80016,21/12/2024,Neutral,2024
80014,21/12/2024,Positive,2024
80204,21/12/2024,Positive,2024
80014,21/12/2024,Positive,2024
80221,21/12/2024,Positive,2024
80234,21/12/2024,Positive,2024
80211,21/12/2024,Negative,2024
80221,21/12/2024,Positive,2024
80002,21/12/2024,Neutral,2024
80211,21/12/2024,Positive,2024
80014,21/12/2024,Neutral,2024
80014,21/12/2024,Positive,2024
80016,21/12/2024,Positive,2024
80238,21/12/2024,Positive,2024
80002,21/12/2024,Neutral,2024
80211,21/12/2024,Neutral,2024
80014,21/12/2024,Positive,2024
80014,21/12/2024,Neutral,2024
80002,21/12/2024,Negative,2024
80221,21/12/2024,Positive,2024
80219,21/12/2024,Positive,2024
80014,20/12/2024,Neutral,2024
80014,20/12/2024,Positive,2024
80016,20/12/2024,Positive,2024
80204,20/12/2024,Negative,2024
80014,20/12/2024,Positive,2024
80120,20/12/2024,Positive,2024
80221,20/12/2024,Positive,2024
80014,20/12/2024,Negative,2024
80120,20/12/2024,Neutral,2024
80014,20/12/2024,Negative,2024
80014,20/12/2024,Negative,2024
80002,20/12/2024,Negative,2024
80204,20/12/2024,Neutral,2024
80238,20/12/2024,Positive,2024
80219,20/12/2024,Positive,2024
80016,20/12/2024,Neutral,2024
80238,20/12/2024,Positive,2024
80211,20/12/2024,Positive,2024
80002,20/12/2024,Neutral,2024
80234,19/12/2024,Positive,2024
80234,19/12/2024,Negative,2024
80120,19/12/2024,Positive,2024
80014,19/12/2024,Positive,2024
80219,19/12/2024,Positive,2024
80002,19/12/2024,Positive,2024
80219,19/12/2024,Positive,2024
80238,19/12/2024,Positive,2024
80221,19/12/2024,Positive,2024
80211,19/12/2024,Positive,2024
80204,19/12/2024,Positive,2024
80016,19/12/2024,Positive,2024
80016,19/12/2024,Positive,2024
80234,19/12/2024,Negative,2024
80016,19/12/2024,Neutral,2024
80002,19/12/2024,Positive,2024
80002,19/12/2024,Positive,2024
80221,19/12/2024,Negative,2024
80002,19/12/2024,Positive,2024
80204,18/12/2024,Neutral,2024
80016,18/12/2024,Positive,2024
80120,18/12/2024,Positive,2024
80016,18/12/2024,Positive,2024
80221,18/12/2024,Positive,2024
80211,18/12/2024,Neutral,2024
80120,18/12/2024,Positive,2024
80221,18/12/2024,Positive,2024
80234,18/12/2024,Positive,2024
80221,18/12/2024,Negative,2024
80014,18/12/2024,Positive,2024
80219,18/12/2024,Positive,2024
80221,18/12/2024,Negative,2024
80120,18/12/2024,Neutral,2024
80234,18/12/2024,Negative,2024
80016,18/12/2024,Positive,2024
80211,17/12/2024,Neutral,2024
80014,17/12/2024,Positive,2024
80204,17/12/2024,Negative,2024
80234,17/12/2024,Positive,2024
80211,17/12/2024,Positive,2024
80120,17/12/2024,Positive,2024
80016,17/12/2024,Positive,2024
80120,17/12/2024,Positive,2024
80204,17/12/2024,Positive,2024
80219,17/12/2024,Positive,2024
80234,17/12/2024,Positive,2024
80219,17/12/2024,Positive,2024
80002,17/12/2024,Positive,2024
80014,17/12/2024,Positive,2024
80120,17/12/2024,Positive,2024
80016,17/12/2024,Positive,2024
80002,16/12/2024,Neutral,2024
80204,16/12/2024,Positive,2024
80120,16/12/2024,Negative,2024
80221,16/12/2024,Negative,2024
80204,16/12/2024,Positive,2024
80234,16/12/2024,Neutral,2024
80014,16/12/2024,Neutral,2024
80014,16/12/2024,Neutral,2024
80221,16/12/2024,Positive,2024
80238,16/12/2024,Neutral,2024
80238,16/12/2024,Negative,2024
80204,16/12/2024,Neutral,2024
80204,16/12/2024,Neutral,2024
80016,16/12/2024,Neutral,2024
80016,16/12/2024,Positive,2024
80234,16/12/2024,Positive,2024
80238,16/12/2024,Negative,2024
80204,15/12/2024,Positive,2024
80204,15/12/2024,Positive,2024
80219,15/12/2024,Positive,2024
80211,15/12/2024,Positive,2024
80120,15/12/2024,Neutral,2024
80219,15/12/2024,Positive,2024
80016,15/12/2024,Positive,2024
80238,15/12/2024,Neutral,2024
80238,15/12/2024,Positive,2024
80221,15/12/2024,Positive,2024
80016,15/12/2024,Positive,2024
80238,15/12/2024,Positive,2024
80219,15/12/2024,Negative,2024
80221,15/12/2024,Positive,2024
80002,15/12/2024,Positive,2024
80221,14/12/2024,Positive,2024
80219,14/12/2024,Positive,2024
80221,14/12/2024,Positive,2024
80234,14/12/2024,Negative,2024
80211,14/12/2024,Positive,2024
80238,14/12/2024,Negative,2024
80014,14/12/2024,Positive,2024
80219,14/12/2024,Neutral,2024
80211,14/12/2024,Positive,2024
80238,14/12/2024,Positive,2024
80221,14/12/2024,Positive,2024
80238,14/12/2024,Positive,2024
80221,14/12/2024,Positive,2024
80014,14/12/2024,Negative,2024
80016,14/12/2024,Positive,2024
80238,14/12/2024,Positive,2024
80238,14/12/2024,Negative,2024
80014,14/12/2024,Positive,2024
80238,14/12/2024,Positive,2024
80204,14/12/2024,Positive,2024
80238,14/12/2024,Neutral,2024
80016,14/12/2024,Positive,2024
80014,14/12/2024,Positive,2024
80204,14/12/2024,Positive,2024
80221,14/12/2024,Positive,2024
80002,14/12/2024,Negative,2024
80219,14/12/2024,Positive,2024
80120,14/12/2024,Positive,2024
80002,14/12/2024,Neutral,2024
80120,13/12/2024,Positive,2024
80016,13/12/2024,Positive,2024
80219,13/12/2024,Neutral,2024
80204,13/12/2024,Positive,2024
80002,13/12/2024,Negative,2024
80221,13/12/2024,Positive,2024
80219,13/12/2024,Positive,2024
80120,13/12/2024,Neutral,2024
80234,13/12/2024,Negative,2024
80234,13/12/2024,Positive,2024
80002,13/12/2024,Positive,2024
80238,13/12/2024,Neutral,2024
80219,13/12/2024,Neutral,2024
80204,13/12/2024,Positive,2024
80221,13/12/2024,Neutral,2024
80211,12/12/2024,Positive,2024
80238,12/12/2024,Positive,2024
80016,12/12/2024,Neutral,2024
80238,12/12/2024,Positive,2024
80234,12/12/2024,Positive,2024
80219,12/12/2024,Neutral,2024
80211,12/12/2024,Positive,2024
80211,12/12/2024,Positive,2024
80219,12/12/2024,Positive,2024
80219,12/12/2024,Positive,2024
80002,12/12/2024,Neutral,2024
80238,12/12/2024,Neutral,2024
80221,12/12/2024,Positive,2024
80204,12/12/2024,Positive,2024
80219,12/12/2024,Positive,2024
80016,12/12/2024,Positive,2024
80219,12/12/2024,Negative,2024
80234,12/12/2024,Neutral,2024
80234,12/12/2024,Neutral,2024
80219,12/12/2024,Positive,2024
80211,12/12/2024,Positive,2024
80014,12/12/2024,Neutral,2024
80014,12/12/2024,Neutral,2024
80211,11/12/2024,Neutral,2024
80120,11/12/2024,Negative,2024
80014,11/12/2024,Negative,2024
80234,11/12/2024,Positive,2024
80016,11/12/2024,Positive,2024
80014,11/12/2024,Neutral,2024
80221,11/12/2024,Negative,2024
80238,11/12/2024,Neutral,2024
80204,11/12/2024,Neutral,2024
80219,11/12/2024,Negative,2024
80120,11/12/2024,Positive,2024
80238,11/12/2024,Neutral,2024
80014,11/12/2024,Positive,2024
80238,11/12/2024,Positive,2024
80221,11/12/2024,Neutral,2024
80219,11/12/2024,Positive,2024
80120,11/12/2024,Negative,2024
80002,11/12/2024,Negative,2024
80234,10/12/2024,Positive,2024
80002,10/12/2024,Negative,2024
80120,10/12/2024,Neutral,2024
80002,10/12/2024,Negative,2024
80238,10/12/2024,Positive,2024
80211,10/12/2024,Positive,2024
80002,10/12/2024,Neutral,2024
80234,10/12/2024,Positive,2024
80002,10/12/2024,Negative,2024
80002,10/12/2024,Neutral,2024
80234,10/12/2024,Negative,2024
80211,10/12/2024,Positive,2024
80204,10/12/2024,Positive,2024
80204,10/12/2024,Neutral,2024
80204,10/12/2024,Positive,2024
80016,10/12/2024,Negative,2024
80234,10/12/2024,Neutral,2024
80120,10/12/2024,Positive,2024
80002,10/12/2024,Positive,2024
80211,10/12/2024,Neutral,2024
80120,10/12/2024,Negative,2024
80211,10/12/2024,Positive,2024
80211,10/12/2024,Positive,2024
80002,9/12/2024,Positive,2024
80016,9/12/2024,Positive,2024
80234,9/12/2024,Positive,2024
80238,9/12/2024,Neutral,2024
80211,9/12/2024,Positive,2024
80211,9/12/2024,Positive,2024
80120,9/12/2024,Positive,2024
80221,9/12/2024,Positive,2024
80221,9/12/2024,Positive,2024
80238,9/12/2024,Positive,2024
80016,9/12/2024,Neutral,2024
80238,9/12/2024,Neutral,2024
80002,9/12/2024,Negative,2024
80211,9/12/2024,Positive,2024
80002,8/12/2024,Positive,2024
80204,8/12/2024,Positive,2024
80219,8/12/2024,Positive,2024
80016,8/12/2024,Positive,2024
80221,8/12/2024,Positive,2024
80120,8/12/2024,Positive,2024
80002,8/12/2024,Positive,2024
80120,8/12/2024,Positive,2024
80120,8/12/2024,Positive,2024
80221,8/12/2024,Neutral,2024
80219,8/12/2024,Negative,2024
80219,8/12/2024,Positive,2024
80002,8/12/2024,Positive,2024
80219,8/12/2024,Positive,2024
80002,8/12/2024,Neutral,2024
80211,8/12/2024,Positive,2024
80221,8/12/2024,Positive,2024
80234,8/12/2024,Positive,2024
80234,8/12/2024,Positive,2024
80014,8/12/2024,Neutral,2024
80002,7/12/2024,Neutral,2024
80219,7/12/2024,Negative,2024
80204,7/12/2024,Positive,2024
80014,7/12/2024,Neutral,2024
80219,7/12/2024,Neutral,2024
80238,7/12/2024,Positive,2024
80014,7/12/2024,Positive,2024
80234,7/12/2024,Positive,2024
80014,7/12/2024,Neutral,2024
80238,7/12/2024,Positive,2024
80120,7/12/2024,Positive,2024
80014,7/12/2024,Positive,2024
80014,7/12/2024,Positive,2024
80120,7/12/2024,Negative,2024
80204,7/12/2024,Positive,2024
80221,7/12/2024,Neutral,2024
80002,7/12/2024,Positive,2024
80238,7/12/2024,Negative,2024
80016,7/12/2024,Positive,2024
80221,6/12/2024,Neutral,2024
80219,6/12/2024,Positive,2024
80014,6/12/2024,Negative,2024
80002,6/12/2024,Neutral,2024
80219,6/12/2024,Neutral,2024
80238,6/12/2024,Positive,2024
80221,6/12/2024,Neutral,2024
80211,6/12/2024,Positive,2024
80014,6/12/2024,Positive,2024
80211,6/12/2024,Positive,2024
80204,6/12/2024,Positive,2024
80221,6/12/2024,Positive,2024
80204,6/12/2024,Neutral,2024
80002,6/12/2024,Positive,2024
80204,6/12/2024,Neutral,2024
80002,6/12/2024,Negative,2024
80014,6/12/2024,Positive,2024
80014,6/12/2024,Positive,2024
80016,5/12/2024,Positive,2024
80002,5/12/2024,Positive,2024
80211,5/12/2024,Positive,2024
80002,5/12/2024,Neutral,2024
80014,5/12/2024,Neutral,2024
80221,5/12/2024,Negative,2024
80016,5/12/2024,Neutral,2024
80221,5/12/2024,Positive,2024
80221,5/12/2024,Neutral,2024
80014,5/12/2024,Positive,2024
80238,5/12/2024,Positive,2024
80204,5/12/2024,Positive,2024
80120,5/12/2024,Negative,2024
80002,5/12/2024,Neutral,2024
80221,5/12/2024,Positive,2024
80002,4/12/2024,Positive,2024
80238,4/12/2024,Positive,2024
80014,4/12/2024,Positive,2024
80211,4/12/2024,Negative,2024
80221,4/12/2024,Positive,2024
80016,4/12/2024,Positive,2024
80002,4/12/2024,Positive,2024
80014,4/12/2024,Neutral,2024
80238,4/12/2024,Positive,2024
80234,4/12/2024,Neutral,2024
80238,4/12/2024,Positive,2024
80002,4/12/2024,Negative,2024
80016,4/12/2024,Positive,2024
80002,4/12/2024,Positive,2024
80204,4/12/2024,Neutral,2024
80211,4/12/2024,Positive,2024
80219,4/12/2024,Positive,2024
80014,4/12/2024,Neutral,2024
80234,4/12/2024,Positive,2024
80221,4/12/2024,Neutral,2024
80234,4/12/2024,Negative,2024
80016,4/12/2024,Positive,2024
80221,4/12/2024,Positive,2024
80016,4/12/2024,Negative,2024
80211,4/12/2024,Positive,2024
80221,4/12/2024,Negative,2024
80204,4/12/2024,Positive,2024
80234,3/12/2024,Positive,2024
80219,3/12/2024,Positive,2024
80002,3/12/2024,Positive,2024
80002,3/12/2024,Neutral,2024
80238,3/12/2024,Positive,2024
80211,3/12/2024,Positive,2024
80002,3/12/2024,Positive,2024
80238,3/12/2024,Negative,2024
80204,3/12/2024,Positive,2024
80016,3/12/2024,Positive,2024
80016,3/12/2024,Negative,2024
80014,3/12/2024,Positive,2024
80120,3/12/2024,Positive,2024
80204,3/12/2024,Neutral,2024
80014,3/12/2024,Positive,2024
80211,3/12/2024,Neutral,2024
80221,3/12/2024,Negative,2024
80002,3/12/2024,Negative,2024
80219,2/12/2024,Positive,2024
80204,2/12/2024,Positive,2024
80014,2/12/2024,Negative,2024
80219,2/12/2024,Positive,2024
80221,2/12/2024,Positive,2024
80238,2/12/2024,Neutral,2024
80211,2/12/2024,Positive,2024
80234,2/12/2024,Negative,2024
80204,2/12/2024,Neutral,2024
80014,2/12/2024,Neutral,2024
80014,2/12/2024,Positive,2024
80219,2/12/2024,Positive,2024
80238,2/12/2024,Neutral,2024
80204,2/12/2024,Positive,2024
80234,2/12/2024,Positive,2024
80204,2/12/2024,Positive,2024
80016,2/12/2024,Neutral,2024
80014,2/12/2024,Positive,2024
80211,2/12/2024,Positive,2024
80238,2/12/2024,Neutral,2024
80204,2/12/2024,Negative,2024
80238,2/12/2024,Positive,2024
80002,2/12/2024,Positive,2024
80204,2/12/2024,Negative,2024
80002,2/12/2024,Neutral,2024
80211,1/12/2024,Positive,2024
80204,1/12/2024,Negative,2024
80002,1/12/2024,Neutral,2024
80002,1/12/2024,Positive,2024
80016,1/12/2024,Positive,2024
80204,1/12/2024,Positive,2024
80204,1/12/2024,Negative,2024
80002,1/12/2024,Negative,2024
80002,1/12/2024,Positive,2024
80219,1/12/2024,Neutral,2024
80219,1/12/2024,Positive,2024
80016,1/12/2024,Positive,2024
80211,1/12/2024,Neutral,2024
80014,1/12/2024,Neutral,2024
80219,1/12/2024,Neutral,2024
80002,1/12/2024,Neutral,2024
80238,1/12/2024,Negative,2024
80016,1/12/2024,Positive,2024
80238,1/12/2024,Negative,2024
80238,1/12/2024,Positive,2024
80016,1/12/2024,Positive,2024
80219,1/12/2024,Positive,2024
80120,1/12/2024,Positive,2024
80234,1/12/2024,Negative,2024
80016,1/12/2024,Negative,2024
80211,30/11/2024,Neutral,2024
80238,30/11/2024,Positive,2024
80002,30/11/2024,Negative,2024
80238,30/11/2024,Negative,2024
80238,30/11/2024,Positive,2024
80219,30/11/2024,Neutral,2024
80002,30/11/2024,Neutral,2024
80014,30/11/2024,Negative,2024
80204,30/11/2024,Neutral,2024
80221,30/11/2024,Positive,2024
80221,30/11/2024,Positive,2024
80016,30/11/2024,Positive,2024
80014,30/11/2024,Positive,2024
80234,30/11/2024,Positive,2024
80002,30/11/2024,Negative,2024
80016,30/11/2024,Negative,2024
80204,30/11/2024,Neutral,2024
80120,30/11/2024,Positive,2024
80221,30/11/2024,Positive,2024
80234,30/11/2024,Positive,2024
80002,30/11/2024,Neutral,2024
80219,30/11/2024,Positive,2024
80014,30/11/2024,Neutral,2024
80002,29/11/2024,Positive,2024
80234,29/11/2024,Negative,2024
80016,29/11/2024,Negative,2024
80211,29/11/2024,Positive,2024
80219,29/11/2024,Positive,2024
80238,29/11/2024,Positive,2024
80120,29/11/2024,Neutral,2024
80211,29/11/2024,Neutral,2024
80219,29/11/2024,Positive,2024
80204,29/11/2024,Positive,2024
80221,29/11/2024,Negative,2024
80211,29/11/2024,Neutral,2024
80211,29/11/2024,Positive,2024
80016,29/11/2024,Negative,2024
80234,29/11/2024,Positive,2024
80221,29/11/2024,Positive,2024
80016,29/11/2024,Positive,2024
80238,29/11/2024,Positive,2024
80204,29/11/2024,Positive,2024
80014,29/11/2024,Positive,2024
80014,28/11/2024,Positive,2024
80238,28/11/2024,Positive,2024
80014,28/11/2024,Positive,2024
80014,28/11/2024,Neutral,2024
80234,28/11/2024,Negative,2024
80120,28/11/2024,Positive,2024
80120,28/11/2024,Neutral,2024
80238,28/11/2024,Positive,2024
80219,28/11/2024,Positive,2024
80211,28/11/2024,Negative,2024
80238,28/11/2024,Neutral,2024
80002,28/11/2024,Neutral,2024
80014,28/11/2024,Negative,2024
80204,28/11/2024,Negative,2024
80002,28/11/2024,Positive,2024
80219,28/11/2024,Neutral,2024
80120,28/11/2024,Positive,2024
80219,28/11/2024,Neutral,2024
80221,28/11/2024,Positive,2024
80234,28/11/2024,Positive,2024
80234,27/11/2024,Positive,2024
80211,27/11/2024,Neutral,2024
80002,27/11/2024,Positive,2024
80014,27/11/2024,Negative,2024
80234,27/11/2024,Positive,2024
80211,27/11/2024,Negative,2024
80219,27/11/2024,Positive,2024
80002,27/11/2024,Positive,2024
80002,27/11/2024,Positive,2024
80204,27/11/2024,Neutral,2024
80120,27/11/2024,Negative,2024
80219,27/11/2024,Negative,2024
80221,27/11/2024,Negative,2024
80238,27/11/2024,Neutral,2024
80221,27/11/2024,Negative,2024
80234,27/11/2024,Neutral,2024
80211,27/11/2024,Negative,2024
80204,27/11/2024,Positive,2024
80219,27/11/2024,Neutral,2024
80211,27/11/2024,Positive,2024
80234,27/11/2024,Neutral,2024
80211,27/11/2024,Negative,2024
80014,27/11/2024,Positive,2024
80002,27/11/2024,Neutral,2024
80211,27/11/2024,Positive,2024
80016,26/11/2024,Neutral,2024
80120,26/11/2024,Negative,2024
80016,26/11/2024,Neutral,2024
80221,26/11/2024,Positive,2024
80120,26/11/2024,Positive,2024
80120,26/11/2024,Negative,2024
80120,26/11/2024,Positive,2024
80204,26/11/2024,Positive,2024
80204,26/11/2024,Positive,2024
80219,26/11/2024,Positive,2024
80014,26/11/2024,Neutral,2024
80016,26/11/2024,Positive,2024
80238,26/11/2024,Positive,2024
80219,26/11/2024,Positive,2024
80204,26/11/2024,Positive,2024
80204,26/11/2024,Positive,2024
80016,26/11/2024,Positive,2024
80219,26/11/2024,Positive,2024
80221,26/11/2024,Neutral,2024
80014,26/11/2024,Positive,2024
80238,26/11/2024,Positive,2024
80002,26/11/2024,Positive,2024
80204,26/11/2024,Neutral,2024
80219,26/11/2024,Neutral,2024
80002,26/11/2024,Neutral,2024
80002,25/11/2024,Positive,2024
80238,25/11/2024,Positive,2024
80238,25/11/2024,Neutral,2024
80014,25/11/2024,Positive,2024
80014,25/11/2024,Positive,2024
80120,25/11/2024,Neutral,2024
80238,25/11/2024,Positive,2024
80219,25/11/2024,Positive,2024
80211,25/11/2024,Negative,2024
80016,25/11/2024,Neutral,2024
80234,25/11/2024,Positive,2024
80221,25/11/2024,Positive,2024
80002,25/11/2024,Negative,2024
80219,25/11/2024,Neutral,2024
80002,25/11/2024,Neutral,2024
80211,25/11/2024,Positive,2024
80120,25/11/2024,Positive,2024
80238,25/11/2024,Neutral,2024
80016,25/11/2024,Negative,2024
80238,25/11/2024,Positive,2024
80221,25/11/2024,Negative,2024
80221,25/11/2024,Positive,2024
80002,25/11/2024,Positive,2024
80002,24/11/2024,Positive,2024
80016,24/11/2024,Positive,2024
80204,24/11/2024,Negative,2024
80204,24/11/2024,Positive,2024
80238,24/11/2024,Negative,2024
80238,24/11/2024,Positive,2024
80016,24/11/2024,Positive,2024
80002,24/11/2024,Positive,2024
80219,24/11/2024,Positive,2024
80234,24/11/2024,Positive,2024
80002,24/11/2024,Positive,2024
80221,24/11/2024,Positive,2024
80204,24/11/2024,Positive,2024
80234,24/11/2024,Positive,2024
80219,24/11/2024,Neutral,2024
80016,24/11/2024,Positive,2024
80238,24/11/2024,Positive,2024
80016,24/11/2024,Positive,2024
80219,24/11/2024,Positive,2024
80002,24/11/2024,Neutral,2024
80219,24/11/2024,Positive,2024
80238,24/11/2024,Positive,2024
80219,24/11/2024,Positive,2024
80221,24/11/2024,Neutral,2024
80221,24/11/2024,Neutral,2024
80219,24/11/2024,Positive,2024
80234,24/11/2024,Positive,2024
80234,24/11/2024,Positive,2024
80219,24/11/2024,Neutral,2024
80221,24/11/2024,Neutral,2024
80238,23/11/2024,Positive,2024
80221,23/11/2024,Negative,2024
80221,23/11/2024,Neutral,2024
80238,23/11/2024,Positive,2024
80234,23/11/2024,Positive,2024
80234,23/11/2024,Negative,2024
80204,23/11/2024,Positive,2024
80219,23/11/2024,Negative,2024
80234,23/11/2024,Positive,2024
80211,23/11/2024,Negative,2024
80002,23/11/2024,Neutral,2024
80120,23/11/2024,Negative,2024
80219,23/11/2024,Neutral,2024
80219,23/11/2024,Positive,2024
80002,23/11/2024,Negative,2024
80016,23/11/2024,Positive,2024
80016,23/11/2024,Neutral,2024
80120,22/11/2024,Positive,2024
80219,22/11/2024,Positive,2024
80120,22/11/2024,Positive,2024
80120,22/11/2024,Positive,2024
80221,22/11/2024,Neutral,2024
80221,22/11/2024,Negative,2024
80219,22/11/2024,Negative,2024
80014,22/11/2024,Negative,2024
80211,22/11/2024,Negative,2024
80204,22/11/2024,Positive,2024
80238,22/11/2024,Negative,2024
80002,22/11/2024,Positive,2024
80014,22/11/2024,Neutral,2024
80219,22/11/2024,Neutral,2024
80204,22/11/2024,Neutral,2024
80211,22/11/2024,Positive,2024
