Date,Car_ID,System_Affected,Units,Model
"Friday, February 18, 2022",132120,Fuel Supply,9683,Labrador
"Wednesday, February 16, 2022",99110,Tires,2313,Salish
"Tuesday, February 15, 2022",87110,Other,12814,Beaufort
"Tuesday, February 8, 2022",26151,Engine,12752,Hudson
"Friday, January 28, 2022",147160,Visual System,5361,Champlain
"Thursday, January 27, 2022",132120,Lights And Instruments,3054,Labrador
"Friday, January 14, 2022",99110,Other,2008,Salish
"Monday, January 3, 2022",87110,Brakes,10197,Beaufort
"Friday, December 24, 2021",26151,Seats And Restraints,10784,Hudson
"Sunday, December 19, 2021",147160,Steering,12482,Champlain
"Saturday, December 18, 2021",132120,Suspension,14718,Labrador
"Tuesday, November 30, 2021",99110,Tires,5401,Salish
"Saturday, November 27, 2021",87110,Airbag,10476,Beaufort
"Monday, November 15, 2021",26151,Airbag,7099,Hudson
"Friday, November 5, 2021",147160,Powertrain,75,Champlain
"Monday, October 18, 2021",99110,Seats And Restraints,14208,Salish
"Monday, October 18, 2021",132120,Airbag,390,Labrador
"Tuesday, October 12, 2021",87110,Airbag,7450,Beaufort
"Monday, October 11, 2021",26151,Airbag,8432,Hudson
"Wednesday, October 6, 2021",147160,Visual System,7517,Champlain
"Tuesday, October 5, 2021",132120,Tires,9790,Labrador
"Friday, October 1, 2021",99110,Airbag,7808,Salish
"Tuesday, September 21, 2021",26151,Seats And Restraints,10097,Hudson
"Tuesday, September 21, 2021",87110,Fuel Supply,11593,Beaufort
"Friday, September 17, 2021",147160,Powertrain,14882,Champlain
"Sunday, September 12, 2021",132120,Electrical,4099,Labrador
"Saturday, August 14, 2021",99110,Structure,8288,Salish
"Wednesday, August 11, 2021",87110,Suspension,12910,Beaufort
"Tuesday, August 10, 2021",26151,Electrical,2932,Hudson
"Wednesday, August 4, 2021",147160,Seats And Restraints,2624,Champlain
"Saturday, July 24, 2021",132120,Steering,4978,Labrador
"Tuesday, July 6, 2021",99110,Powertrain,12024,Salish
"Thursday, July 1, 2021",87110,Engine,10104,Beaufort
"Thursday, June 10, 2021",26151,Airbag,3459,Hudson
"Monday, May 31, 2021",147160,Engine,1621,Champlain
"Thursday, May 13, 2021",132120,Seats And Restraints,13190,Labrador
"Tuesday, April 13, 2021",99110,Tires,6483,Salish
"Monday, March 15, 2021",87110,Powertrain,14339,Beaufort
"Monday, March 8, 2021",26151,Suspension,4476,Hudson
"Sunday, January 17, 2021",147160,Powertrain,6428,Champlain
"Wednesday, January 6, 2021",132120,Visual System,14300,Labrador
"Thursday, December 24, 2020",26151,Seats And Restraints,10784,Hudson
"Saturday, December 19, 2020",147160,Steering,12482,Champlain
"Friday, December 18, 2020",132120,Suspension,14718,Labrador
"Monday, November 30, 2020",99110,Tires,5401,Salish
"Friday, November 27, 2020",87110,Airbag,10476,Beaufort
"Sunday, November 15, 2020",26151,Airbag,7099,Hudson
"Thursday, November 5, 2020",147160,Powertrain,75,Champlain
"Sunday, October 18, 2020",99110,Seats And Restraints,14208,Salish
"Sunday, October 18, 2020",132120,Airbag,390,Labrador
"Monday, October 12, 2020",87110,Airbag,7450,Beaufort
"Sunday, October 11, 2020",26151,Airbag,8432,Hudson
"Tuesday, October 6, 2020",147160,Visual System,7517,Champlain
"Monday, October 5, 2020",132120,Tires,9790,Labrador
"Thursday, October 1, 2020",99110,Airbag,7808,Salish
"Monday, September 21, 2020",26151,Seats And Restraints,10097,Hudson
"Monday, September 21, 2020",87110,Fuel Supply,11593,Beaufort
"Thursday, September 17, 2020",147160,Powertrain,14882,Champlain
"Saturday, September 12, 2020",132120,Electrical,4099,Labrador
"Friday, August 14, 2020",99110,Structure,8288,Salish
"Tuesday, August 11, 2020",87110,Suspension,12910,Beaufort
"Monday, August 10, 2020",26151,Electrical,2932,Hudson
"Tuesday, August 4, 2020",147160,Seats And Restraints,2624,Champlain
"Friday, July 24, 2020",132120,Steering,4978,Labrador
"Monday, July 6, 2020",99110,Powertrain,12024,Salish
"Wednesday, July 1, 2020",87110,Engine,10104,Beaufort
"Wednesday, June 10, 2020",26151,Airbag,3459,Hudson
"Sunday, May 31, 2020",147160,Engine,1621,Champlain
"Wednesday, May 13, 2020",132120,Seats And Restraints,13190,Labrador
"Monday, April 13, 2020",99110,Tires,6483,Salish
"Sunday, March 15, 2020",87110,Powertrain,14339,Beaufort
"Sunday, March 8, 2020",26151,Suspension,4476,Hudson
"Friday, January 17, 2020",147160,Powertrain,6428,Champlain
"Monday, January 6, 2020",132120,Visual System,14300,Labrador
